order_id,order_date,product_id,product_name,category,price,quantity,channel,city,customer_id,stock_available,sales,stock_status,total_sales
1,10/05/2024,1077,Shoes,Electronics,3610.49,2,Online,Delhi,6959,422,7220.98,Overstock,7220.98
2,31/12/2024,1035,Shoes,Electronics,2164.15,2,Store,Delhi,5426,65,4328.3,Optimal,4328.3
3,10/11/2024,1094,Sofa,Electronics,107.99,1,Store,Bangalore,5728,268,107.99,Optimal,107.99
4,02/05/2022,1027,Headphones,Electronics,1909.5,3,Store,Delhi,5880,178,5728.5,Optimal,5728.5
5,12/04/2023,1097,Watch,Sports,432.02,4,Store,Bangalore,5561,212,1728.08,Optimal,1728.08
6,27/11/2022,1034,Phone,Electronics,3924.92,4,App,Mumbai,5183,337,15699.68,Overstock,15699.68
7,29/03/2022,1059,Headphones,Electronics,3940.38,1,Store,Hyderabad,6085,189,3940.38,Optimal,3940.38
8,21/05/2024,1061,Headphones,Sports,4051.26,1,App,Hyderabad,6123,412,4051.26,Overstock,4051.26
9,11/05/2022,1086,Shirt,Home,248.6,1,Store,Delhi,6718,7,248.6,Understock,248.6
10,09/02/2024,1045,Headphones,Home,258.12,4,Store,Delhi,6892,147,1032.48,Optimal,1032.48
11,10/12/2022,1082,Phone,Home,4526.9,2,Store,Mumbai,6949,118,9053.8,Optimal,9053.8
12,16/03/2024,1081,Laptop,Clothing,706.05,3,Online,Delhi,6819,127,2118.15,Optimal,2118.1499999999996
13,21/01/2023,1078,Shoes,Home,3383.44,2,App,Mumbai,5195,100,6766.88,Optimal,6766.88
14,13/08/2024,1060,Shoes,Sports,3997.73,1,Online,Mumbai,5936,223,3997.73,Optimal,3997.73
15,04/10/2022,1064,Laptop,Home,2294.53,4,Store,Hyderabad,6491,200,9178.12,Optimal,9178.12
16,05/04/2023,1088,Shirt,Clothing,2777.71,2,Online,Hyderabad,6035,285,5555.42,Optimal,5555.42
17,22/01/2022,1025,Shoes,Clothing,1214.17,3,Online,Mumbai,5365,441,3642.51,Overstock,3642.51
18,10/09/2022,1034,Phone,Electronics,4625.64,1,Online,Delhi,5332,306,4625.64,Overstock,4625.64
19,18/01/2024,1056,Laptop,Sports,1578.83,3,App,Hyderabad,5345,147,4736.49,Optimal,4736.49
20,06/05/2024,1078,Shoes,Home,1167.27,4,Store,Mumbai,6061,293,4669.08,Optimal,4669.08
21,20/04/2023,1062,Phone,Home,2674.48,1,Store,Bangalore,6844,250,2674.48,Optimal,2674.48
22,18/12/2024,1003,Laptop,Sports,1033.52,1,App,Delhi,5534,214,1033.52,Optimal,1033.52
23,26/05/2023,1078,Laptop,Sports,3464.79,1,App,Hyderabad,6833,7,3464.79,Understock,3464.79
24,01/12/2023,1041,Laptop,Sports,2624.07,3,Store,Mumbai,6391,119,7872.21,Optimal,7872.210000000001
25,02/09/2024,1044,Bag,Sports,824.24,4,Store,Hyderabad,5117,448,3296.96,Overstock,3296.96
26,09/07/2022,1038,Shirt,Sports,429.51,1,Online,Hyderabad,5834,133,429.51,Optimal,429.51
27,15/08/2024,1064,Laptop,Sports,771.07,2,App,Mumbai,6802,171,1542.14,Optimal,1542.14
28,18/11/2023,1021,Headphones,Sports,769.46,1,Store,Mumbai,6373,128,769.46,Optimal,769.46
29,15/08/2024,1010,Watch,Clothing,1632.97,1,Store,Bangalore,5137,448,1632.97,Overstock,1632.97
30,17/07/2023,1036,Sofa,Electronics,4183.03,1,Online,Delhi,6612,44,4183.03,Understock,4183.03
31,11/04/2024,1089,Sofa,Home,380.74,2,Store,Hyderabad,5329,395,761.48,Overstock,761.48
32,09/10/2023,1050,Laptop,Clothing,727.64,2,App,Delhi,6182,77,1455.28,Optimal,1455.28
33,21/01/2022,1090,Shoes,Clothing,1584.21,4,App,Mumbai,6195,387,6336.84,Overstock,6336.84
34,20/04/2024,1057,Headphones,Home,2811.33,3,App,Mumbai,5420,298,8433.99,Optimal,8433.99
35,16/06/2022,1076,Headphones,Clothing,3838.13,1,Online,Mumbai,6432,478,3838.13,Overstock,3838.13
36,23/01/2023,1006,Sofa,Sports,4613.84,3,Online,Mumbai,5476,24,13841.52,Understock,13841.52
37,24/08/2023,1007,Phone,Clothing,2119.23,3,App,Delhi,5020,345,6357.69,Overstock,6357.6900000000005
38,12/11/2022,1050,Phone,Home,618.59,1,Store,Mumbai,5142,383,618.59,Overstock,618.59
39,14/01/2022,1022,Shoes,Electronics,1146.23,1,Store,Hyderabad,5233,267,1146.23,Optimal,1146.23
40,30/08/2022,1089,Phone,Home,1507.51,2,Store,Delhi,6398,209,3015.02,Optimal,3015.02
41,16/02/2024,1090,Watch,Electronics,3951.88,4,App,Mumbai,5906,483,15807.52,Overstock,15807.52
42,19/07/2023,1008,Shoes,Sports,3464.55,2,App,Bangalore,5481,293,6929.1,Optimal,6929.1
43,16/06/2024,1045,Phone,Clothing,1124.13,3,App,Delhi,6008,106,3372.39,Optimal,3372.3900000000003
44,02/04/2022,1037,Laptop,Home,4209.85,1,Online,Bangalore,6610,311,4209.85,Overstock,4209.85
45,13/08/2024,1012,Headphones,Home,4309.86,3,Online,Bangalore,6836,257,12929.58,Optimal,12929.579999999998
46,24/05/2023,1006,Phone,Electronics,4423.95,2,App,Delhi,6287,11,8847.9,Understock,8847.9
47,15/02/2024,1010,Headphones,Clothing,1447.52,3,App,Bangalore,5609,192,4342.56,Optimal,4342.5599999999995
48,04/02/2022,1073,Laptop,Home,755.28,1,Store,Delhi,5616,338,755.28,Overstock,755.28
49,25/07/2022,1096,Phone,Home,609.39,4,Online,Mumbai,6177,430,2437.56,Overstock,2437.56
50,22/10/2024,1049,Phone,Clothing,2060.43,3,Store,Mumbai,6556,240,6181.29,Optimal,6181.289999999999
51,18/10/2024,1066,Phone,Sports,2203.69,4,App,Mumbai,5307,249,8814.76,Optimal,8814.76
52,20/07/2023,1040,Laptop,Electronics,4354.23,3,App,Hyderabad,6073,106,13062.69,Optimal,13062.689999999999
53,04/12/2023,1028,Bag,Home,1412.0,1,Online,Bangalore,5791,496,1412.0,Overstock,1412.0
54,06/02/2023,1036,Phone,Clothing,3171.77,1,Online,Delhi,5367,372,3171.77,Overstock,3171.77
55,31/12/2023,1055,Phone,Sports,3962.24,4,Store,Hyderabad,6247,425,15848.96,Overstock,15848.96
56,11/06/2022,1079,Headphones,Home,1418.85,1,Store,Hyderabad,5337,382,1418.85,Overstock,1418.85
57,21/07/2022,1015,Watch,Sports,1408.98,4,Online,Delhi,6049,312,5635.92,Overstock,5635.92
58,22/09/2024,1043,Shirt,Home,3378.86,2,App,Hyderabad,5808,166,6757.72,Optimal,6757.72
59,27/09/2022,1049,Bag,Home,3658.07,4,Online,Bangalore,5562,196,14632.28,Optimal,14632.28
60,26/03/2024,1070,Laptop,Sports,4802.84,3,Store,Delhi,5655,115,14408.52,Optimal,14408.52
61,01/04/2023,1078,Watch,Electronics,4264.71,4,Online,Hyderabad,6832,430,17058.84,Overstock,17058.84
62,13/10/2024,1005,Sofa,Sports,4128.05,4,Store,Hyderabad,5051,324,16512.2,Overstock,16512.2
63,23/10/2022,1017,Headphones,Clothing,3492.34,3,Store,Hyderabad,6464,340,10477.02,Overstock,10477.02
64,21/12/2023,1018,Shoes,Home,680.58,1,Store,Delhi,5376,244,680.58,Optimal,680.58
65,04/12/2022,1050,Headphones,Sports,4065.28,1,App,Mumbai,5868,193,4065.28,Optimal,4065.28
66,28/05/2024,1065,Shirt,Sports,4683.08,2,Store,Hyderabad,6491,166,9366.16,Optimal,9366.16
67,12/12/2024,1002,Watch,Home,2014.52,1,App,Bangalore,5818,183,2014.52,Optimal,2014.52
68,02/03/2024,1088,Watch,Home,1636.94,2,App,Mumbai,5826,170,3273.88,Optimal,3273.88
69,05/08/2022,1099,Phone,Sports,2660.16,2,Online,Bangalore,5761,30,5320.32,Understock,5320.32
70,03/02/2024,1053,Sofa,Electronics,4786.63,2,App,Delhi,5462,388,9573.26,Overstock,9573.26
71,07/07/2022,1048,Sofa,Home,349.08,1,App,Mumbai,6987,257,349.08,Optimal,349.08
72,15/01/2023,1027,Phone,Sports,3573.52,3,Online,Bangalore,5757,55,10720.56,Optimal,10720.56
73,08/05/2023,1037,Watch,Clothing,4091.87,1,Online,Hyderabad,5295,47,4091.87,Understock,4091.87
74,30/11/2024,1027,Headphones,Electronics,3964.87,3,Store,Mumbai,5143,262,11894.61,Optimal,11894.61
